('2010-1-27!9', 18)
('2010-1-28!0', 0)
('2010-1-28!1', 37)
('2010-1-28!10', 40)
('2010-1-28!11', 44)
('2010-1-28!14', 14)
('2010-1-28!15', 15)
('2010-1-28!16', 16)
('2010-1-28!17', 17)
('2010-1-28!2', 52)
('2010-1-28!3', 75)
('2010-1-28!4', 44)
('2010-1-28!5', 35)
('2010-1-28!6', 24)
('2010-1-28!7', 35)
('2010-1-28!8', 48)
('2010-1-28!9', 27)
('2010-1-29!0', 0)
('2010-1-29!1', 32)
('2010-1-29!10', 10)
('2010-1-29!11', 22)
('2010-1-29!12', 48)
('2010-1-29!14', 14)
('2010-1-29!15', 45)
('2010-1-29!16', 32)
('2010-1-29!19', 19)
('2010-1-29!2', 54)
('2010-1-29!27', 27)
('2010-1-29!3', 63)
('2010-1-29!4', 72)
('2010-1-29!5', 35)
('2010-1-29!6', 36)
('2010-1-29!7', 42)
('2010-1-29!8', 32)
('2010-1-29!9', 45)
('2010-1-3!0', 0)
('2010-1-3!1', 5)
('2010-1-3!2', 10)
('2010-1-3!3', 12)
('2010-1-3!4', 16)
('2010-1-30!0', 0)
('2010-1-30!1', 35)
('2010-1-30!10', 30)
('2010-1-30!11', 11)
('2010-1-30!12', 24)
('2010-1-30!13', 13)
('2010-1-30!14', 42)
('2010-1-30!15', 15)
('2010-1-30!16', 16)
('2010-1-30!2', 46)
('2010-1-30!21', 42)
('2010-1-30!24', 24)
('2010-1-30!28', 28)
('2010-1-30!3', 48)
('2010-1-30!32', 64)
('2010-1-30!34', 34)
('2010-1-30!35', 70)
('2010-1-30!4', 60)
('2010-1-30!5', 50)
('2010-1-30!6', 36)
('2010-1-30!7', 77)
('2010-1-30!8', 48)
('2010-1-30!9', 72)
('2010-1-31!0', 0)
('2010-1-31!1', 9)
('2010-1-31!11', 11)
('2010-1-31!12', 12)
('2010-1-31!2', 14)
('2010-1-31!3', 3)
('2010-1-31!4', 4)
('2010-1-31!5', 5)
('2010-1-31!6', 6)
('2010-1-4!0', 0)
('2010-1-4!1', 29)
('2010-1-4!10', 60)
('2010-1-4!13', 26)
('2010-1-4!2', 46)
('2010-1-4!21', 21)
('2010-1-4!3', 48)
('2010-1-4!4', 24)
('2010-1-4!5', 25)
('2010-1-4!6', 6)
('2010-1-4!7', 28)
('2010-1-4!8', 16)
('2010-1-4!9', 36)
('2010-1-5!0', 0)
('2010-1-5!1', 43)
('2010-1-5!10', 30)
('2010-1-5!11', 33)
('2010-1-5!13', 13)
('2010-1-5!14', 14)
('2010-1-5!19', 19)
('2010-1-5!2', 58)
('2010-1-5!3', 45)
('2010-1-5!4', 20)
('2010-1-5!5', 25)
('2010-1-5!6', 24)
('2010-1-5!7', 28)
('2010-1-5!8', 16)
('2010-1-5!9', 9)
('2010-1-6!0', 0)
('2010-1-6!1', 45)
('2010-1-6!11', 11)
('2010-1-6!16', 16)
('2010-1-6!17', 17)
('2010-1-6!2', 60)
('2010-1-6!25', 50)
('2010-1-6!3', 54)
('2010-1-6!4', 56)
('2010-1-6!5', 40)
('2010-1-6!6', 24)
('2010-1-6!7', 28)
('2010-1-6!9', 27)
('2010-1-7!0', 0)
('2010-1-7!1', 47)
('2010-1-7!10', 20)
('2010-1-7!11', 22)
('2010-1-7!12', 12)
('2010-1-7!17', 17)
('2010-1-7!2', 52)
('2010-1-7!21', 21)
('2010-1-7!27', 27)
('2010-1-7!3', 60)
('2010-1-7!4', 52)
('2010-1-7!5', 60)
('2010-1-7!6', 36)
('2010-1-7!7', 35)
('2010-1-7!8', 16)
('2010-1-7!9', 36)
('2010-1-8!0', 0)
('2010-1-8!1', 46)
('2010-1-8!10', 10)
('2010-1-8!11', 44)
('2010-1-8!12', 36)
('2010-1-8!13', 13)
('2010-1-8!14', 14)
('2010-1-8!17', 17)
('2010-1-8!2', 60)
('2010-1-8!20', 20)
('2010-1-8!27', 27)
('2010-1-8!3', 69)
('2010-1-8!30', 60)
('2010-1-8!4', 64)
('2010-1-8!5', 40)
('2010-1-8!6', 42)
('2010-1-8!7', 28)
('2010-1-8!8', 24)
('2010-1-8!9', 54)
('2010-1-9!0', 0)
('2010-1-9!1', 33)
('2010-1-9!10', 70)
('2010-1-9!11', 22)
('2010-1-9!13', 13)
('2010-1-9!14', 28)
('2010-1-9!15', 45)
('2010-1-9!17', 68)
('2010-1-9!19', 19)
('2010-1-9!2', 48)
('2010-1-9!20', 20)
('2010-1-9!22', 44)
('2010-1-9!23', 23)
('2010-1-9!28', 28)
('2010-1-9!3', 51)
('2010-1-9!4', 68)
('2010-1-9!42', 42)
('2010-1-9!5', 30)
('2010-1-9!6', 48)
('2010-1-9!7', 49)
('2010-1-9!8', 72)
('2010-1-9!9', 36)
('2010-10-1!0', 0)
('2010-10-1!1', 47)
('2010-10-1!10', 40)
('2010-10-1!11', 33)
('2010-10-1!12', 36)
('2010-10-1!15', 45)
('2010-10-1!16', 16)
('2010-10-1!2', 66)
('2010-10-1!23', 46)
('2010-10-1!27', 27)
('2010-10-1!3', 57)
('2010-10-1!4', 52)
('2010-10-1!5', 50)
('2010-10-1!6', 42)
('2010-10-1!7', 49)
('2010-10-1!8', 32)
('2010-10-1!9', 18)
('2010-10-10!0', 0)
('2010-10-10!1', 11)
('2010-10-10!11', 11)
('2010-10-10!2', 12)
('2010-10-10!3', 6)
('2010-10-10!4', 16)
('2010-10-10!6', 6)
('2010-10-11!0', 0)
('2010-10-11!1', 36)
('2010-10-11!10', 20)
('2010-10-11!11', 11)
('2010-10-11!12', 12)
('2010-10-11!13', 52)
('2010-10-11!15', 15)
('2010-10-11!18', 18)
('2010-10-11!2', 38)
('2010-10-11!3', 57)
('2010-10-11!35', 35)
('2010-10-11!4', 56)
('2010-10-11!5', 30)
('2010-10-11!6', 54)
('2010-10-11!7', 49)
('2010-10-11!8', 32)
('2010-10-11!9', 27)
('2010-10-12!0', 0)
('2010-10-12!1', 40)
('2010-10-12!10', 40)
('2010-10-12!11', 11)
('2010-10-12!12', 12)
('2010-10-12!13', 26)
('2010-10-12!14', 28)
('2010-10-12!15', 15)
('2010-10-12!16', 16)
('2010-10-12!17', 17)
('2010-10-12!19', 19)
('2010-10-12!2', 64)
('2010-10-12!20', 20)
('2010-10-12!23', 23)
('2010-10-12!3', 63)
('2010-10-12!4', 48)
('2010-10-12!5', 50)
('2010-10-12!6', 36)
('2010-10-12!7', 49)
('2010-10-12!8', 32)
('2010-10-12!9', 18)
('2010-10-13!0', 0)
('2010-10-13!1', 46)
('2010-10-13!10', 20)
('2010-10-13!11', 44)
('2010-10-13!12', 12)
('2010-10-13!13', 13)
('2010-10-13!14', 28)
('2010-10-13!15', 15)
('2010-10-13!16', 16)
('2010-10-13!2', 42)
('2010-10-13!3', 48)
('2010-10-13!30', 60)
