('2016-4-3!6', 1)
('2016-4-3!7', 1)
('2016-4-30!0', 75)
('2016-4-30!1', 16)
('2016-4-30!2', 28)
('2016-4-30!3', 8)
('2016-4-30!4', 6)
('2016-4-30!5', 4)
('2016-4-30!6', 5)
('2016-4-30!9', 1)
('2016-4-4!0', 52)
('2016-4-4!1', 17)
('2016-4-4!2', 8)
('2016-4-4!3', 9)
('2016-4-4!4', 1)
('2016-4-4!5', 1)
('2016-4-4!6', 1)
('2016-4-4!7', 2)
('2016-4-5!0', 58)
('2016-4-5!1', 11)
('2016-4-5!2', 11)
('2016-4-5!3', 11)
('2016-4-5!4', 5)
('2016-4-5!5', 2)
('2016-4-5!7', 2)
('2016-4-5!8', 3)
('2016-4-6!0', 65)
('2016-4-6!1', 16)
('2016-4-6!2', 17)
('2016-4-6!3', 9)
('2016-4-6!4', 3)
('2016-4-6!5', 1)
('2016-4-6!6', 3)
('2016-4-7!0', 53)
('2016-4-7!1', 20)
('2016-4-7!2', 27)
('2016-4-7!3', 12)
('2016-4-7!4', 4)
('2016-4-7!5', 2)
('2016-4-7!6', 2)
('2016-4-7!7', 3)
('2016-4-7!8', 1)
('2016-4-8!0', 55)
('2016-4-8!1', 15)
('2016-4-8!10', 1)
('2016-4-8!13', 1)
('2016-4-8!2', 19)
('2016-4-8!3', 8)
('2016-4-8!4', 7)
('2016-4-8!5', 1)
('2016-4-8!7', 3)
('2016-4-8!9', 2)
('2016-4-9!0', 78)
('2016-4-9!1', 21)
('2016-4-9!2', 19)
('2016-4-9!3', 8)
('2016-4-9!4', 9)
('2016-4-9!5', 6)
('2016-4-9!6', 2)
('2016-4-9!8', 1)
('2016-5-1!0', 21)
('2016-5-1!1', 12)
('2016-5-1!2', 7)
('2016-5-1!3', 4)
('2016-5-1!4', 1)
('2016-5-1!5', 1)
('2016-5-1!6', 1)
('2016-5-1!8', 1)
('2016-5-10!0', 56)
('2016-5-10!1', 8)
('2016-5-10!2', 14)
('2016-5-10!3', 10)
('2016-5-10!4', 4)
('2016-5-10!5', 3)
('2016-5-10!6', 1)
('2016-5-10!7', 4)
('2016-5-10!8', 1)
('2016-5-11!0', 61)
('2016-5-11!1', 13)
('2016-5-11!2', 22)
('2016-5-11!3', 9)
('2016-5-11!4', 5)
('2016-5-11!5', 2)
('2016-5-11!6', 3)
('2016-5-11!7', 1)
('2016-5-11!9', 1)
('2016-5-12!0', 58)
('2016-5-12!1', 19)
('2016-5-12!2', 23)
('2016-5-12!3', 12)
('2016-5-12!4', 2)
('2016-5-12!5', 1)
('2016-5-12!7', 4)
('2016-5-13!0', 53)
('2016-5-13!1', 15)
('2016-5-13!2', 16)
('2016-5-13!3', 9)
('2016-5-13!4', 4)
('2016-5-13!5', 2)
('2016-5-13!6', 2)
('2016-5-13!7', 3)
('2016-5-13!8', 2)
('2016-5-14!0', 79)
('2016-5-14!1', 20)
('2016-5-14!2', 20)
('2016-5-14!3', 6)
('2016-5-14!4', 5)
('2016-5-14!5', 5)
('2016-5-14!6', 2)
('2016-5-14!7', 4)
('2016-5-15!0', 13)
('2016-5-15!1', 7)
('2016-5-15!2', 5)
('2016-5-15!3', 3)
('2016-5-15!6', 1)
('2016-5-16!0', 19)
('2016-5-16!1', 4)
('2016-5-16!2', 10)
('2016-5-16!3', 5)
('2016-5-16!4', 2)
('2016-5-16!5', 3)
('2016-5-17!0', 43)
('2016-5-17!1', 18)
('2016-5-17!2', 18)
('2016-5-17!3', 7)
('2016-5-17!4', 6)
('2016-5-17!5', 2)
('2016-5-17!9', 3)
('2016-5-18!0', 64)
('2016-5-18!1', 15)
('2016-5-18!2', 13)
('2016-5-18!3', 9)
