('2011-12-11!0', 3019083)
('2011-12-10!6', 4)
('2011-12-10!5', 2)
('2011-12-10!4', 33)
('2011-12-10!3', 185)
('2011-12-10!2', 3915)
('2011-12-10!1', 83956)
('2011-12-10!0', 3039303)
('2011-12-09!6', 3)
('2011-12-09!5', 8)
('2011-12-09!4', 39)
('2011-12-09!3', 304)
('2011-12-09!2', 4102)
('2011-12-09!1', 88905)
('2011-12-09!0', 2964570)
('2011-12-08!7', 2)
('2011-12-08!6', 4)
('2011-12-08!5', 4)
('2011-12-08!4', 35)
('2011-12-08!3', 354)
('2011-12-08!2', 4984)
('2011-12-08!1', 95744)
('2011-12-08!0', 2835224)
('2011-12-07!5', 6)
('2011-12-07!4', 52)
('2011-12-07!3', 302)
('2011-12-07!2', 4933)
('2011-12-07!10', 1)
('2011-12-07!1', 95906)
('2011-12-07!0', 2890447)
('2011-12-06!7', 2)
('2011-12-06!6', 1)
('2011-12-06!5', 3)
('2011-12-06!4', 36)
('2011-12-06!3', 425)
('2011-12-06!2', 4550)
('2011-12-06!16', 1)
('2011-12-06!1', 82519)
('2011-12-06!0', 2813336)
('2011-12-05!6', 2)
('2011-12-05!5', 5)
('2011-12-05!4', 53)
('2011-12-05!3', 364)
('2011-12-05!2', 3861)
('2011-12-05!1', 82293)
('2011-12-05!0', 2867425)
('2011-12-04!6', 1)
('2011-12-04!5', 5)
('2011-12-04!4', 16)
('2011-12-04!3', 230)
('2011-12-04!2', 3131)
('2011-12-04!1', 79885)
('2011-12-04!0', 3014524)
('2011-12-03!7', 2)
('2011-12-03!6', 1)
('2011-12-03!5', 1)
('2011-12-03!4', 27)
('2011-12-03!3', 192)
('2011-12-03!2', 3604)
('2011-12-03!1', 89901)
('2011-12-03!0', 3042823)
('2011-12-02!6', 3)
('2011-12-02!5', 3)
('2011-12-02!4', 33)
('2011-12-02!3', 244)
('2011-12-02!2', 3757)
('2011-12-02!1', 84811)
('2011-12-02!0', 2923970)
('2011-12-01!8', 2)
('2011-12-01!6', 1)
('2011-12-01!5', 5)
('2011-12-01!4', 46)
('2011-12-01!3', 257)
('2011-12-01!2', 4077)
('2011-12-01!1', 86397)
('2011-12-01!0', 2844501)
('2011-11-30!7', 1)
('2011-11-30!6', 1)
('2011-11-30!5', 5)
('2011-11-30!4', 41)
('2011-11-30!3', 362)
('2011-11-30!2', 4633)
('2011-11-30!1', 84331)
('2011-11-30!0', 2815109)
('2011-11-29!6', 2)
('2011-11-29!5', 2)
('2011-11-29!4', 27)
('2011-11-29!3', 396)
('2011-11-29!2', 4636)
('2011-11-29!10', 1)
('2011-11-29!1', 82390)
('2011-11-29!0', 2753595)
('2011-11-28!7', 1)
('2011-11-28!6', 1)
('2011-11-28!5', 2)
('2011-11-28!4', 49)
('2011-11-28!3', 251)
('2011-11-28!2', 4625)
('2011-11-28!1', 80632)
('2011-11-28!0', 2795462)
('2011-11-27!6', 2)
('2011-11-27!5', 5)
('2011-11-27!4', 25)
('2011-11-27!3', 264)
('2011-11-27!2', 4315)
('2011-11-27!1', 87129)
('2011-11-27!0', 2993474)
('2011-11-26!5', 5)
('2011-11-26!4', 12)
('2011-11-26!3', 185)
('2011-11-26!2', 3822)
('2011-11-26!1', 85414)
('2011-11-26!0', 2996034)
('2011-11-25!6', 4)
('2011-11-25!5', 4)
('2011-11-25!4', 27)
('2011-11-25!3', 310)
('2011-11-25!2', 3829)
('2011-11-25!1', 83345)
('2011-11-25!0', 2915600)
('2011-11-24!6', 2)
('2011-11-24!5', 8)
